family_id,source,model,n_historical,n_support,n_test,valid_pair_count,correct_pair_count,pairwise_accuracy,within_family_spearman
2013_CHUGAI|len=9|Circle,2013_CHUGAI,Chemistry + Site + Context,7207,5,12,65,42,0.6461538461538462,0.5078816895453011
2013_CHUGAI|len=9|Circle,2013_CHUGAI,ECFP,7207,5,12,65,44,0.676923076923077,0.45884483676161686
2015_Ahlbach|len=11|Circle,2015_Ahlbach,Sequence,7216,3,5,9,5,0.5555555555555556,-0.34412360080584264
2015_Ahlbach|len=11|Circle,2015_Ahlbach,Chemistry,7216,3,5,9,1,0.1111111111111111,-0.8207826816681234
2015_Ahlbach|len=11|Circle,2015_Ahlbach,Chemistry + Site,7216,3,5,9,0,0.0,-0.9746794344808963
2015_Ahlbach|len=11|Circle,2015_Ahlbach,Chemistry + Site + Context,7216,3,5,9,0,0.0,-0.9746794344808963
2015_Ahlbach|len=11|Circle,2015_Ahlbach,ECFP,7216,3,5,9,4,0.4444444444444444,-0.23684210526315794
2015_Ahlbach|len=6|Circle,2015_Ahlbach,Sequence,7211,3,10,45,29,0.6444444444444445,0.42553388057604524
2015_Ahlbach|len=6|Circle,2015_Ahlbach,Chemistry,7211,3,10,45,32,0.7111111111111111,0.6443798763008685
2015_Ahlbach|len=6|Circle,2015_Ahlbach,Chemistry + Site,7211,3,10,45,28,0.6222222222222222,0.42553388057604524
2015_Ahlbach|len=6|Circle,2015_Ahlbach,Chemistry + Site + Context,7211,3,10,45,29,0.6444444444444445,0.41818181818181815
2015_Ahlbach|len=6|Circle,2015_Ahlbach,ECFP,7211,3,10,45,28,0.6222222222222222,0.37426130267530777
2015_Bockus_1|len=6|Circle,2015_Bockus_1,Sequence,7209,4,11,51,24,0.47058823529411764,-0.06045233700886913
2015_Bockus_1|len=6|Circle,2015_Bockus_1,Chemistry,7209,4,11,51,20,0.39215686274509803,-0.26308045265711594
2015_Bockus_1|len=6|Circle,2015_Bockus_1,Chemistry + Site,7209,4,11,51,31,0.6078431372549019,0.24537299998194012
2015_Bockus_1|len=6|Circle,2015_Bockus_1,Chemistry + Site + Context,7209,4,11,51,30,0.5882352941176471,0.2916697924313628
2015_Bockus_1|len=6|Circle,2015_Bockus_1,ECFP,7209,4,11,51,26,0.5098039215686274,
2015_Bockus_2|len=6|Circle,2015_Bockus_2,Sequence,7207,5,12,65,35,0.5384615384615384,0.008995657944263859
2015_Bockus_2|len=6|Circle,2015_Bockus_2,Chemistry,7207,5,12,65,35,0.5384615384615384,0.015929827321607748
2015_Bockus_2|len=6|Circle,2015_Bockus_2,Chemistry + Site,7207,5,12,65,37,0.5692307692307692,0.1366026613259775
2015_Bockus_2|len=6|Circle,2015_Bockus_2,Chemistry + Site + Context,7207,5,12,65,36,0.5538461538461539,0.12609476430090236
2015_Bockus_2|len=6|Circle,2015_Bockus_2,ECFP,7207,5,12,65,17,0.26153846153846155,-0.5817232182438087
2015_Marelli|len=6|Circle,2015_Marelli,Sequence,7214,3,7,20,9,0.45,-0.381385035698237
