cutoff,sample_id,max_tanimoto,mean_top5_tanimoto
2017,CYCPEPTMPDB_PAMPA_003744,0.6951219512195121,0.6852588052558668
2017,CYCPEPTMPDB_PAMPA_004877,0.7571428571428571,0.7203726708074535
2017,CYCPEPTMPDB_PAMPA_007233,0.48514851485148514,0.45655135715214534
2017,CYCPEPTMPDB_PAMPA_004664,0.7375,0.7097440407253116
2017,CYCPEPTMPDB_PAMPA_004619,0.7125,0.6872019612088769
2017,CYCPEPTMPDB_PAMPA_004685,0.7536231884057971,0.7202401250355214
2017,CYCPEPTMPDB_PAMPA_002884,0.6756756756756757,0.6486837486837487
2017,CYCPEPTMPDB_PAMPA_006651,0.46808510638297873,0.43123170017567836
2017,CYCPEPTMPDB_PAMPA_005288,0.4387755102040816,0.43595097832947616
2017,CYCPEPTMPDB_PAMPA_006460,0.4883720930232558,0.4883720930232558
2017,CYCPEPTMPDB_PAMPA_007242,0.4725274725274725,0.47151698875836806
2017,CYCPEPTMPDB_PAMPA_004436,0.6515151515151515,0.641941082653157
2017,CYCPEPTMPDB_PAMPA_005620,0.4387755102040816,0.43595097832947616
2017,CYCPEPTMPDB_PAMPA_002746,0.7611940298507462,0.7488493716550486
2017,CYCPEPTMPDB_PAMPA_002886,0.6829268292682927,0.6732085299591478
2017,CYCPEPTMPDB_PAMPA_001947,0.7608695652173914,0.7608695652173914
2017,CYCPEPTMPDB_PAMPA_005342,0.4387755102040816,0.43595097832947616
2017,CYCPEPTMPDB_PAMPA_003891,0.7532467532467533,0.7319584778978517
2017,CYCPEPTMPDB_PAMPA_004055,0.9056603773584906,0.8300043374539146
2017,CYCPEPTMPDB_PAMPA_004912,0.6588235294117647,0.650892663816544
2017,CYCPEPTMPDB_PAMPA_007156,0.5164835164835165,0.49493796141372853
2017,CYCPEPTMPDB_PAMPA_003829,0.7205882352941176,0.69264873256174
2017,CYCPEPTMPDB_PAMPA_005002,0.6395348837209303,0.6366921639274773
2017,CYCPEPTMPDB_PAMPA_003298,0.6395348837209303,0.6366921639274773
2017,CYCPEPTMPDB_PAMPA_006524,0.5512820512820513,0.5512820512820513
2017,CYCPEPTMPDB_PAMPA_002032,0.7246376811594203,0.7033431196053395
2017,CYCPEPTMPDB_PAMPA_005751,0.4387755102040816,0.43595097832947616
2017,CYCPEPTMPDB_PAMPA_004389,0.6341463414634146,0.6163551657988491
2017,CYCPEPTMPDB_PAMPA_003735,0.6666666666666666,0.6573995628724626
2017,CYCPEPTMPDB_PAMPA_005458,0.4387755102040816,0.43826530612244896
2017,CYCPEPTMPDB_PAMPA_006716,0.64,0.6128208168642951
2017,CYCPEPTMPDB_PAMPA_003210,0.6538461538461539,0.6463921620548126
2017,CYCPEPTMPDB_PAMPA_003985,0.8032786885245902,0.7566552066300505
2017,CYCPEPTMPDB_PAMPA_002503,0.6567164179104478,0.6500508147002387
2017,CYCPEPTMPDB_PAMPA_002930,0.7647058823529411,0.7345898922949462
2017,CYCPEPTMPDB_PAMPA_005140,0.4065934065934066,0.4065934065934066
2017,CYCPEPTMPDB_PAMPA_005289,0.4329896907216495,0.4291788733961284
2017,CYCPEPTMPDB_PAMPA_003584,0.6551724137931034,0.6463709743698121
2017,CYCPEPTMPDB_PAMPA_004440,0.6417910447761194,0.6346873228792745
2017,CYCPEPTMPDB_PAMPA_005215,0.4387755102040816,0.43826530612244896
2017,CYCPEPTMPDB_PAMPA_002843,0.7611940298507462,0.7488493716550486
2017,CYCPEPTMPDB_PAMPA_006368,0.4883720930232558,0.4828343079570745
2017,CYCPEPTMPDB_PAMPA_004062,0.8166666666666667,0.7638252178023908
2017,CYCPEPTMPDB_PAMPA_007211,0.38461538461538464,0.3703077402532938
2017,CYCPEPTMPDB_PAMPA_002119,0.7142857142857143,0.6825831702544031
2017,CYCPEPTMPDB_PAMPA_004455,0.6623376623376623,0.6357618437900128
2017,CYCPEPTMPDB_PAMPA_004087,0.75,0.7042261904761905
2017,CYCPEPTMPDB_PAMPA_006706,0.5588235294117647,0.5325997065492863
2017,CYCPEPTMPDB_PAMPA_004353,0.6666666666666666,0.6573995628724626
2017,CYCPEPTMPDB_PAMPA_003222,0.6477272727272727,0.6446520610991746
2017,CYCPEPTMPDB_PAMPA_002842,0.7611940298507462,0.7488493716550486
2017,CYCPEPTMPDB_PAMPA_003965,0.7108433734939759,0.6864100625858739
2017,CYCPEPTMPDB_PAMPA_006356,0.4772727272727273,0.46907001044932073
2017,CYCPEPTMPDB_PAMPA_003560,0.7297297297297297,0.6937060348019252
2017,CYCPEPTMPDB_PAMPA_005526,0.4172661870503597,0.41053272737209034
2017,CYCPEPTMPDB_PAMPA_005158,0.4842105263157895,0.4842105263157895
2017,CYCPEPTMPDB_PAMPA_005394,0.44329896907216493,0.43892957798709487
2017,CYCPEPTMPDB_PAMPA_004326,0.7536231884057971,0.7201055049774526
2017,CYCPEPTMPDB_PAMPA_005640,0.4387755102040816,0.43414685461813585
2017,CYCPEPTMPDB_PAMPA_005801,0.44329896907216493,0.43892957798709487
2017,CYCPEPTMPDB_PAMPA_007093,0.4838709677419355,0.46891004503748024
2017,CYCPEPTMPDB_PAMPA_003312,0.9056603773584906,0.8300043374539146
2017,CYCPEPTMPDB_PAMPA_003729,0.7205882352941176,0.69264873256174
2017,CYCPEPTMPDB_PAMPA_002254,0.6746987951807228,0.6512685738601715
2017,CYCPEPTMPDB_PAMPA_007058,0.48863636363636365,0.48863636363636365
2017,CYCPEPTMPDB_PAMPA_004817,0.7317073170731707,0.6884912389875139
2017,CYCPEPTMPDB_PAMPA_007241,0.47126436781609193,0.47126436781609193
2017,CYCPEPTMPDB_PAMPA_005800,0.4172661870503597,0.41053272737209034
2017,CYCPEPTMPDB_PAMPA_002167,0.6162790697674418,0.6103242411630644
2017,CYCPEPTMPDB_PAMPA_003989,0.8166666666666667,0.7638252178023908
2017,CYCPEPTMPDB_PAMPA_002940,0.7611940298507462,0.7289423014796149
2017,CYCPEPTMPDB_PAMPA_006895,0.5507246376811594,0.5336743393009378
2017,CYCPEPTMPDB_PAMPA_003961,0.8051948051948052,0.7490452901528851
2017,CYCPEPTMPDB_PAMPA_003636,0.7205882352941176,0.69264873256174
2017,CYCPEPTMPDB_PAMPA_002859,0.6933333333333334,0.664675105485232
2017,CYCPEPTMPDB_PAMPA_004266,0.6829268292682927,0.6732085299591478
2017,CYCPEPTMPDB_PAMPA_001782,0.3950617283950617,0.3423034849195187
2017,CYCPEPTMPDB_PAMPA_003872,0.684931506849315,0.6555195065288792
2017,CYCPEPTMPDB_PAMPA_003459,0.6538461538461539,0.6463921620548126
2017,CYCPEPTMPDB_PAMPA_004888,0.6538461538461539,0.6275403608736942
2017,CYCPEPTMPDB_PAMPA_005644,0.4244604316546763,0.4204698354718287
2017,CYCPEPTMPDB_PAMPA_004549,0.6627906976744186,0.6537861040142922
2017,CYCPEPTMPDB_PAMPA_005142,0.41304347826086957,0.4130434782608695
2017,CYCPEPTMPDB_PAMPA_006255,0.4172661870503597,0.41053272737209034
2017,CYCPEPTMPDB_PAMPA_004274,0.6666666666666666,0.6573995628724626
2017,CYCPEPTMPDB_PAMPA_004131,0.7794117647058824,0.740342405618964
2017,CYCPEPTMPDB_PAMPA_002266,0.7361111111111112,0.7361111111111112
2017,CYCPEPTMPDB_PAMPA_002873,0.7205882352941176,0.7086198115609881
2017,CYCPEPTMPDB_PAMPA_001847,0.8214285714285714,0.8214285714285714
2017,CYCPEPTMPDB_PAMPA_003236,0.8032786885245902,0.7566552066300505
2017,CYCPEPTMPDB_PAMPA_004988,0.6867469879518072,0.6835838126023257
2017,CYCPEPTMPDB_PAMPA_002088,0.5238095238095238,0.5165282279712207
2017,CYCPEPTMPDB_PAMPA_004289,0.6746987951807228,0.6652101154275103
2017,CYCPEPTMPDB_PAMPA_002268,0.7361111111111112,0.7361111111111112
2017,CYCPEPTMPDB_PAMPA_002018,0.7246376811594203,0.7033431196053395
2017,CYCPEPTMPDB_PAMPA_004394,0.7543859649122807,0.7231485255365181
2017,CYCPEPTMPDB_PAMPA_006035,0.40625,0.39673515906490325
2017,CYCPEPTMPDB_PAMPA_004713,0.6417910447761194,0.6346873228792745
2017,CYCPEPTMPDB_PAMPA_004387,0.6341463414634146,0.6163551657988491
2017,CYCPEPTMPDB_PAMPA_003174,0.7666666666666667,0.7349255583126552
2017,CYCPEPTMPDB_PAMPA_002040,0.7323943661971831,0.7093168572325148
2017,CYCPEPTMPDB_PAMPA_005109,0.5652173913043478,0.5608561872909699
2017,CYCPEPTMPDB_PAMPA_002403,0.6428571428571429,0.6256022408963585
2017,CYCPEPTMPDB_PAMPA_006650,0.46808510638297873,0.43123170017567836
2017,CYCPEPTMPDB_PAMPA_004056,0.9056603773584906,0.8300043374539146
2017,CYCPEPTMPDB_PAMPA_006252,0.42857142857142855,0.4247391998036328
2017,CYCPEPTMPDB_PAMPA_004089,0.7681159420289855,0.7336610187553283
2017,CYCPEPTMPDB_PAMPA_002468,0.7580645161290323,0.7006677691486466
