cutoff,train_n,test_n,train_sequences,test_sequences,test_families,median_max_tanimoto,iqr_max_tanimoto,model,spearman,ci95_low,ci95_high
2021,5049,1088,1040,189,26,0.524390243902439,0.1073804244535951,ECFP,0.3985728071476547,-0.1419812929500226,0.4555409342844426
2021,5049,1088,1040,189,26,0.524390243902439,0.1073804244535951,RDKit,0.2637759691367805,-0.3991308048837441,0.3750482725506067
2021,5049,1088,1040,189,26,0.524390243902439,0.1073804244535951,Sequence,-0.2006528067465439,-0.3603523410540227,0.0419969091006431
2022,6662,281,1122,126,19,0.5952380952380952,0.1431962025316455,Chemistry,-0.2376705317119115,-0.3162774623198174,0.2159647259666601
2022,6662,281,1122,126,19,0.5952380952380952,0.1431962025316455,Chemistry + Site,-0.0391322204823354,-0.1378675057664209,0.3811673012889173
2022,6662,281,1122,126,19,0.5952380952380952,0.1431962025316455,Chemistry + Site + Context,0.0100928533901215,-0.1051666768425413,0.3850585786259683
2022,6662,281,1122,126,19,0.5952380952380952,0.1431962025316455,ECFP,0.0273247790608788,-0.1696784521945797,0.5354071658616821
2022,6662,281,1122,126,19,0.5952380952380952,0.1431962025316455,RDKit,-0.1625709860199148,-0.3351414792616881,0.2999727447722509
2022,6662,281,1122,126,19,0.5952380952380952,0.1431962025316455,Sequence,-0.1719586219268477,-0.3669992606394359,0.3220264253786125
2023,6887,169,1286,37,8,0.575,0.0739614994934143,Chemistry,-0.1304701735924136,-0.289213137017656,0.6939241945908285
2023,6887,169,1286,37,8,0.575,0.0739614994934143,Chemistry + Site,0.0973764279058295,-0.0042182862035261,0.6659768795711046
2023,6887,169,1286,37,8,0.575,0.0739614994934143,Chemistry + Site + Context,0.1130458498925479,0.0289327328872852,0.7051601177594597
2023,6887,169,1286,37,8,0.575,0.0739614994934143,ECFP,-0.0282830750586908,-0.409217689286375,0.8220709464460473
2023,6887,169,1286,37,8,0.575,0.0739614994934143,RDKit,-0.2469575277635412,-0.5112929255929434,0.4515696310140925
2023,6887,169,1286,37,8,0.575,0.0739614994934143,Sequence,-0.2087630177780995,-0.4410649216187304,0.4774882240776313
