split,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds,protocol,estimator
,A+B+C,Chemistry + Site + Context,spearman,0.741,0.004,0.736,0.745,5,10-trial estimator matrix,Random Forest
,A+C,Chemistry + Context,r2,0.41,0.006,0.402,0.418,5,10-trial estimator matrix,Random Forest
,A+C,Chemistry + Context,rmse,0.877,0.005,0.872,0.883,5,10-trial estimator matrix,Random Forest
,A+C,Chemistry + Context,mae,0.526,0.003,0.523,0.529,5,10-trial estimator matrix,Random Forest
,A+C,Chemistry + Context,spearman,0.707,0.003,0.704,0.711,5,10-trial estimator matrix,Random Forest
,B,Site,r2,0.324,0.003,0.32,0.327,5,10-trial estimator matrix,Random Forest
,B,Site,rmse,0.94,0.002,0.937,0.942,5,10-trial estimator matrix,Random Forest
,B,Site,mae,0.606,0.002,0.604,0.608,5,10-trial estimator matrix,Random Forest
,B,Site,spearman,0.614,0.001,0.613,0.616,5,10-trial estimator matrix,Random Forest
,B+C,Site + Context,r2,0.398,0.006,0.39,0.406,5,10-trial estimator matrix,Random Forest
,B+C,Site + Context,rmse,0.886,0.005,0.881,0.892,5,10-trial estimator matrix,Random Forest
,B+C,Site + Context,mae,0.564,0.003,0.561,0.568,5,10-trial estimator matrix,Random Forest
,B+C,Site + Context,spearman,0.684,0.004,0.68,0.689,5,10-trial estimator matrix,Random Forest
,C,Context,r2,0.266,0.011,0.253,0.279,5,10-trial estimator matrix,Random Forest
,C,Context,rmse,0.979,0.007,0.97,0.987,5,10-trial estimator matrix,Random Forest
,C,Context,mae,0.63,0.004,0.625,0.635,5,10-trial estimator matrix,Random Forest
,C,Context,spearman,0.552,0.003,0.548,0.556,5,10-trial estimator matrix,Random Forest
,A,Chemistry,r2,0.107,0.0,0.107,0.107,5,10-trial estimator matrix,Ridge
,A,Chemistry,rmse,1.079,0.0,1.079,1.079,5,10-trial estimator matrix,Ridge
,A,Chemistry,mae,0.698,0.0,0.698,0.698,5,10-trial estimator matrix,Ridge
,A,Chemistry,spearman,0.474,0.0,0.474,0.474,5,10-trial estimator matrix,Ridge
,A+B,Chemistry + Site,r2,0.172,0.003,0.169,0.175,5,10-trial estimator matrix,Ridge
,A+B,Chemistry + Site,rmse,1.04,0.002,1.038,1.042,5,10-trial estimator matrix,Ridge
,A+B,Chemistry + Site,mae,0.675,0.0,0.674,0.675,5,10-trial estimator matrix,Ridge
,A+B,Chemistry + Site,spearman,0.513,0.0,0.513,0.514,5,10-trial estimator matrix,Ridge
,A+B+C,Chemistry + Site + Context,r2,0.177,0.0,0.177,0.178,5,10-trial estimator matrix,Ridge
,A+B+C,Chemistry + Site + Context,rmse,1.036,0.0,1.036,1.037,5,10-trial estimator matrix,Ridge
,A+B+C,Chemistry + Site + Context,mae,0.668,0.0,0.668,0.668,5,10-trial estimator matrix,Ridge
,A+B+C,Chemistry + Site + Context,spearman,0.546,0.0,0.546,0.546,5,10-trial estimator matrix,Ridge
,A+C,Chemistry + Context,r2,0.182,0.0,0.181,0.182,5,10-trial estimator matrix,Ridge
,A+C,Chemistry + Context,rmse,1.033,0.0,1.033,1.034,5,10-trial estimator matrix,Ridge
,A+C,Chemistry + Context,mae,0.669,0.0,0.669,0.669,5,10-trial estimator matrix,Ridge
