estimator,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds
RBF-SVR,A+C,Chemistry + Context,mae,0.4943883983703737,0.011896148217586704,0.47961737941130034,0.509159417329447,5
RBF-SVR,A+C,Chemistry + Context,spearman,0.7333557803476498,0.01042359631469722,0.7204131760718808,0.7462983846234188,5
RBF-SVR,B,Site,r2,0.26974867240245926,0.027892214053978175,0.23511591438144142,0.3043814304234771,5
RBF-SVR,B,Site,rmse,0.9761467450804437,0.01856816937807324,0.9530913176511406,0.9992021725097469,5
RBF-SVR,B,Site,mae,0.5901433781346643,0.011560477619917376,0.5757891492719726,0.6044976069973561,5
RBF-SVR,B,Site,spearman,0.6300096868669337,0.02390253891460847,0.6003307648309998,0.6596886089028676,5
RBF-SVR,B+C,Site + Context,r2,0.336250711824036,0.027526890165257445,0.3020715633233265,0.37042986032474545,5
RBF-SVR,B+C,Site + Context,rmse,0.9306140903985382,0.019233565811482563,0.9067324641733374,0.9544957166237389,5
RBF-SVR,B+C,Site + Context,mae,0.5388884371641083,0.009913563040013342,0.5265791228434002,0.5511977514848163,5
RBF-SVR,B+C,Site + Context,spearman,0.6964120055846345,0.008463516101595635,0.6859031623430653,0.7069208488262037,5
RBF-SVR,C,Context,r2,0.17516537950378822,0.02306074318959026,0.1465316849134513,0.20379907409412512,5
RBF-SVR,C,Context,rmse,1.0375064695647047,0.014602033798918076,1.0193756498960336,1.0556372892333759,5
RBF-SVR,C,Context,mae,0.6150228491935166,0.004406175247051112,0.6095518600194766,0.6204938383675566,5
RBF-SVR,C,Context,spearman,0.5523393614464145,0.007274941140259838,0.5433063289435024,0.5613723939493266,5
Random Forest,A,Chemistry,r2,0.40884523385695565,0.010202306356926795,0.3961773973549142,0.4215130703589971,5
Random Forest,A,Chemistry,rmse,0.8783739534333556,0.0075779121832586175,0.8689647326938537,0.8877831741728575,5
Random Forest,A,Chemistry,mae,0.5335128753146159,0.00614021129865653,0.5258887960037101,0.5411369546255217,5
Random Forest,A,Chemistry,spearman,0.7038286361881785,0.0062949556749281,0.6960124163563318,0.7116448560200251,5
Random Forest,A+B,Chemistry + Site,r2,0.44288356035890475,0.00521277157842761,0.43641104955911136,0.44935607115869813,5
Random Forest,A+B,Chemistry + Site,rmse,0.8527288691562684,0.003988937851691765,0.8477759486347505,0.8576817896777864,5
Random Forest,A+B,Chemistry + Site,mae,0.5134028066381869,0.00239864601362548,0.5104244942386332,0.5163811190377406,5
Random Forest,A+B,Chemistry + Site,spearman,0.7301708665273201,0.0037924379903271736,0.7254619328093106,0.7348798002453296,5
Random Forest,A+B+C,Chemistry + Site + Context,r2,0.4621189472355578,0.005205455149031703,0.4556555209827407,0.4685823734883749,5
Random Forest,A+B+C,Chemistry + Site + Context,rmse,0.837878051365039,0.004065425857163704,0.8328301584408322,0.8429259442892458,5
Random Forest,A+B+C,Chemistry + Site + Context,mae,0.5054518063647861,0.0018313651724216758,0.5031778661626259,0.5077257465669464,5
Random Forest,A+B+C,Chemistry + Site + Context,spearman,0.7405331063841115,0.0037077156763616337,0.7359293693131975,0.7451368434550255,5
Random Forest,A+C,Chemistry + Context,r2,0.41017702189976724,0.006360773968643048,0.40227907786219147,0.418074965937343,5
Random Forest,A+C,Chemistry + Context,rmse,0.8773998647370522,0.004735963212695523,0.8715193897190308,0.8832803397550737,5
Random Forest,A+C,Chemistry + Context,mae,0.526273417961089,0.0025894357941187948,0.5230582087598714,0.5294886271623065,5
Random Forest,A+C,Chemistry + Context,spearman,0.7074840764736056,0.0027496255071490323,0.7040699654728358,0.7108981874743753,5
Random Forest,B,Site,r2,0.3236363171015455,0.0026532524277111595,0.3203418690839098,0.3269307651191812,5
Random Forest,B,Site,rmse,0.9395745669462888,0.0018427904868947933,0.9372864403424792,0.9418626935500984,5
Random Forest,B,Site,mae,0.6063434230727409,0.0017222777740947958,0.6042049327657409,0.6084819133797409,5
Random Forest,B,Site,spearman,0.6143965271893687,0.0010048431997356595,0.6131488495644171,0.6156442048143203,5
Random Forest,B+C,Site + Context,r2,0.3979348059712382,0.006287070317813004,0.3901283771034343,0.4057412348390421,5
Random Forest,B+C,Site + Context,rmse,0.8864593242142899,0.004624914409626056,0.8807167344970833,0.8922019139314964,5
Random Forest,B+C,Site + Context,mae,0.5642376685639581,0.002719633548899934,0.5608607974979819,0.5676145396299342,5
Random Forest,B+C,Site + Context,spearman,0.6842774138209419,0.0035033277559370743,0.6799274578724868,0.688627369769397,5
Random Forest,C,Context,r2,0.2661854464070847,0.010576526331925266,0.25305295443467896,0.2793179383794904,5
Random Forest,C,Context,rmse,0.9786468409568807,0.007021598950530194,0.969928374330182,0.9873653075835794,5
Random Forest,C,Context,mae,0.6302491659572158,0.004093039056583362,0.6251669867174143,0.6353313451970173,5
