cutoff,model,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,bootstrap_seed
2016,RDKit,rmse,1.512744467073569,1.406145343684992,1.7684500928080127,peptide family,2000,20260717
2016,RDKit,mae,1.1787622215680613,1.0006400428596363,1.4541497637264882,peptide family,2000,20260717
2016,RDKit,spearman,0.010959114442155865,-0.19521366707458362,0.2441639624020207,peptide family,2000,20260717
2016,Sequence,r2,-0.3585151221303422,-0.9648352052006254,-0.20523343023520377,peptide family,2000,20260717
2016,Sequence,rmse,1.24607003084685,0.9994778584525437,1.5794851088817503,peptide family,2000,20260717
2016,Sequence,mae,0.8418670889471606,0.6963440697586595,1.1992551547796984,peptide family,2000,20260717
2016,Sequence,spearman,-0.134223525550458,-0.20434575383717793,-0.017666204122392136,peptide family,2000,20260717
2017,Chemistry,r2,-0.5199477946552262,-1.9253398322162856,-0.0648386713359449,peptide family,2000,20260717
2017,Chemistry,rmse,1.335045872336388,1.1757180581621707,1.7916351499486174,peptide family,2000,20260717
2017,Chemistry,mae,0.9139668204614058,0.725770709149942,1.379059379092785,peptide family,2000,20260717
2017,Chemistry,spearman,0.03443824810731361,-0.2052061376275028,0.3117849581176262,peptide family,2000,20260717
2017,Chemistry + Site,r2,-0.7342311917109057,-1.6964746937479123,-0.2716900415287111,peptide family,2000,20260717
2017,Chemistry + Site,rmse,1.42605195762585,1.1476430474063455,1.816692521841475,peptide family,2000,20260717
2017,Chemistry + Site,mae,0.9950760034370604,0.7920224333210525,1.354012311329241,peptide family,2000,20260717
2017,Chemistry + Site,spearman,0.014702872778036623,-0.16068047057111037,0.34938489916149457,peptide family,2000,20260717
2017,Chemistry + Site + Context,r2,-0.41561847148718045,-0.9674258964349164,-0.17264108448935014,peptide family,2000,20260717
2017,Chemistry + Site + Context,rmse,1.2884125989735413,0.9961576808849149,1.61711349699433,peptide family,2000,20260717
2017,Chemistry + Site + Context,mae,0.8361448505459161,0.7103895583851537,1.1443285792507234,peptide family,2000,20260717
2017,Chemistry + Site + Context,spearman,0.1814051089175907,-0.08258662983047828,0.348685678585569,peptide family,2000,20260717
2017,ECFP,r2,-0.2169348408769476,-0.7565397179995325,-0.0837123940299749,peptide family,2000,20260717
2017,ECFP,rmse,1.1945807585196948,0.9089214337108334,1.580820595467093,peptide family,2000,20260717
2017,ECFP,mae,0.7205395789437602,0.6008145365894909,1.1440782430602463,peptide family,2000,20260717
2017,ECFP,spearman,0.3503920100405525,-0.06109451433573052,0.4593553157435266,peptide family,2000,20260717
2017,RDKit,r2,-0.6242923299112817,-2.022225359382522,-0.1736049382518176,peptide family,2000,20260717
2017,RDKit,rmse,1.3801107837970625,1.2246478843504442,1.841527524325069,peptide family,2000,20260717
2017,RDKit,mae,1.0354197460251802,0.8778765207737297,1.4586307368312492,peptide family,2000,20260717
2017,RDKit,spearman,0.06383218917566226,-0.23863320470409446,0.32981042396543075,peptide family,2000,20260717
2017,Sequence,r2,-0.2970276351450456,-1.2209871557486838,-0.11644482748351115,peptide family,2000,20260717
2017,Sequence,rmse,1.2332651729506092,0.9322478908018873,1.7661934059370874,peptide family,2000,20260717
2017,Sequence,mae,0.8133066172720467,0.6553168207402803,1.3273253507894565,peptide family,2000,20260717
2017,Sequence,spearman,-0.18533871473368313,-0.4021626122314552,-0.048178556529966866,peptide family,2000,20260717
2018,Chemistry,r2,-0.522273854418382,-1.82148735773582,-0.07773431900776195,peptide family,2000,20260717
2018,Chemistry,rmse,1.343491621423598,1.2115011515493355,1.8650317478073146,peptide family,2000,20260717
2018,Chemistry,mae,0.9080005837498802,0.7344872055308443,1.4243432913812508,peptide family,2000,20260717
2018,Chemistry,spearman,-0.009798523705418451,-0.25128287991758763,0.25669715611502847,peptide family,2000,20260717
2018,Chemistry + Site,r2,-0.4593309525793523,-1.063515989053666,-0.2396713922203837,peptide family,2000,20260717
2018,Chemistry + Site,rmse,1.3154231030513435,1.0764812164010504,1.6844523993178098,peptide family,2000,20260717
2018,Chemistry + Site,mae,0.8473038866338951,0.7638580063457422,1.1983095275793398,peptide family,2000,20260717
2018,Chemistry + Site,spearman,0.09941644804551232,-0.11547103338311034,0.30627889855101365,peptide family,2000,20260717
2018,Chemistry + Site + Context,r2,-0.4044246729723808,-0.8332774369176673,-0.17890328056039512,peptide family,2000,20260717
2018,Chemistry + Site + Context,rmse,1.2904399315951798,0.978430887759236,1.6335925144850745,peptide family,2000,20260717
2018,Chemistry + Site + Context,mae,0.8254377278583669,0.6922531669437454,1.1123305992169592,peptide family,2000,20260717
2018,Chemistry + Site + Context,spearman,0.21388682880295817,-0.06994591368015425,0.4084465361289062,peptide family,2000,20260717
2018,ECFP,r2,-0.24328790803742173,-0.7402259463766974,-0.1135154181638905,peptide family,2000,20260717
2018,ECFP,rmse,1.214155811977725,0.9469854485711123,1.5577612764724915,peptide family,2000,20260717
2018,ECFP,mae,0.7393763408506404,0.637067661876095,1.1238837989086135,peptide family,2000,20260717
2018,ECFP,spearman,0.40011922382632875,-0.04369676634518796,0.4638874237716351,peptide family,2000,20260717
2018,RDKit,r2,-0.48110120309735827,-1.5911764913631126,-0.09871914692618959,peptide family,2000,20260717
2018,RDKit,rmse,1.3251984997602477,1.2055957869003675,1.8141166705726255,peptide family,2000,20260717
2018,RDKit,mae,0.9667436377745519,0.8465279980179538,1.4063833744359402,peptide family,2000,20260717
2018,RDKit,spearman,0.08399901990351112,-0.20471894121385145,0.35220479057171616,peptide family,2000,20260717
2018,Sequence,r2,-0.30574836942856765,-1.192421070636875,-0.17586277619448432,peptide family,2000,20260717
2018,Sequence,rmse,1.2442805551254152,0.9747987129445971,1.7818813809974066,peptide family,2000,20260717
2018,Sequence,mae,0.8003618378229616,0.6649632680826655,1.316538270271123,peptide family,2000,20260717
2018,Sequence,spearman,-0.16520289532129054,-0.34644050124246384,-0.04036716008040556,peptide family,2000,20260717
2019,Chemistry,r2,-0.48551392054537823,-1.6279267752447466,-0.08470718584182983,peptide family,2000,20260717
2019,Chemistry,rmse,1.245914519960778,1.110309213643518,1.7032756986486361,peptide family,2000,20260717
2019,Chemistry,mae,0.8174589801103523,0.6656381809002296,1.2693988621531607,peptide family,2000,20260717
2019,Chemistry,spearman,-0.0010686160429132145,-0.24045524156431244,0.28643423394926226,peptide family,2000,20260717
2019,Chemistry + Site,r2,-0.3764594804381083,-1.0487399171689966,-0.18634132291994432,peptide family,2000,20260717
2019,Chemistry + Site,rmse,1.1993104004159938,0.9700549178478525,1.5907366328516857,peptide family,2000,20260717
2019,Chemistry + Site,mae,0.7566953550565794,0.6616102769343005,1.0688178429360566,peptide family,2000,20260717
2019,Chemistry + Site,spearman,0.11851586017670668,-0.0892849648638275,0.2961649417951983,peptide family,2000,20260717
2019,Chemistry + Site + Context,r2,-0.2480928044499715,-0.7968637144839191,-0.11691461504012098,peptide family,2000,20260717
2019,Chemistry + Site + Context,rmse,1.1420189855236087,0.9240059256983671,1.5342258927281667,peptide family,2000,20260717
2019,Chemistry + Site + Context,mae,0.7312647147961934,0.6577653587846927,1.0964417946159928,peptide family,2000,20260717
2019,Chemistry + Site + Context,spearman,0.26608059749684126,0.0039967104672024275,0.380299990737254,peptide family,2000,20260717
2019,ECFP,r2,-0.05210912579380533,-0.2312139568587008,0.07504753748236181,peptide family,2000,20260717
