split,feature_set_id,feature_set,metric,mean,sample_sd,ci95_low,ci95_high,n_completed_seeds,estimate_95ci
random,B+C,Site + Context,rmse,0.9003161046730845,0.014523457637720316,0.8822828501948897,0.9183493591512794,5,"0.900 (0.882, 0.918)"
random,B+C,Site + Context,mae,0.5708195189795123,0.00997493340751486,0.5584340032829211,0.5832050346761035,5,"0.571 (0.558, 0.583)"
random,B+C,Site + Context,spearman,0.6758988052164503,0.006628429141686462,0.6676685233865736,0.684129087046327,5,"0.676 (0.668, 0.684)"
random,C,Context,r2,0.2697949196562514,0.01084967258561403,0.25632327181439607,0.28326656749810675,5,"0.270 (0.256, 0.283)"
random,C,Context,rmse,0.9762357196652965,0.00722377095372728,0.9672662233407833,0.9852052159898098,5,"0.976 (0.967, 0.985)"
random,C,Context,mae,0.6278294552108952,0.004735466653947026,0.6219495967519947,0.6337093136697957,5,"0.628 (0.622, 0.634)"
random,C,Context,spearman,0.5638072483329021,0.005150153149768252,0.5574124885815991,0.5702020080842051,5,"0.564 (0.557, 0.570)"
sequence_cluster,A,Chemistry,r2,0.24345546164347667,0.010627663738922108,0.23025947419384146,0.2566514490931119,5,"0.243 (0.230, 0.257)"
sequence_cluster,A,Chemistry,rmse,0.9361910438159946,0.006564096607748455,0.9280406413774219,0.9443414462545673,5,"0.936 (0.928, 0.944)"
sequence_cluster,A,Chemistry,mae,0.6053535274369469,0.025056481114093376,0.5742417969159046,0.6364652579579892,5,"0.605 (0.574, 0.636)"
sequence_cluster,A,Chemistry,spearman,0.5863097581607878,0.006420609083726936,0.578337519014984,0.5942819973065916,5,"0.586 (0.578, 0.594)"
sequence_cluster,A+B,Chemistry + Site,r2,0.2728307350018634,0.01821535424553549,0.25021338542065386,0.2954480845830729,5,"0.273 (0.250, 0.295)"
sequence_cluster,A+B,Chemistry + Site,rmse,0.9177959444631671,0.011525814140497982,0.903484755994923,0.9321071329314113,5,"0.918 (0.903, 0.932)"
sequence_cluster,A+B,Chemistry + Site,mae,0.5793585035196183,0.023641066890683075,0.55000424188233,0.6087127651569065,5,"0.579 (0.550, 0.609)"
sequence_cluster,A+B,Chemistry + Site,spearman,0.602438747513928,0.016495737871591015,0.581956583674967,0.622920911352889,5,"0.602 (0.582, 0.623)"
sequence_cluster,A+B+C,Chemistry + Site + Context,r2,0.25133406312882567,0.0427806904257634,0.1982148200088547,0.30445330624879663,5,"0.251 (0.198, 0.304)"
sequence_cluster,A+B+C,Chemistry + Site + Context,rmse,0.9310236753834203,0.026347926560341555,0.8983084035461274,0.9637389472207133,5,"0.931 (0.898, 0.964)"
sequence_cluster,A+B+C,Chemistry + Site + Context,mae,0.5899799211171142,0.02117483151830415,0.5636878951528055,0.6162719470814229,5,"0.590 (0.564, 0.616)"
sequence_cluster,A+B+C,Chemistry + Site + Context,spearman,0.5703491272395238,0.03509500246383851,0.5267729261633031,0.6139253283157445,5,"0.570 (0.527, 0.614)"
sequence_cluster,A+C,Chemistry + Context,r2,0.2192481347531706,0.06684124439807253,0.13625376798894476,0.3022425015173964,5,"0.219 (0.136, 0.302)"
sequence_cluster,A+C,Chemistry + Context,rmse,0.950386349096536,0.04029760145683912,0.9003502681536152,1.0004224300394569,5,"0.950 (0.900, 1.000)"
sequence_cluster,A+C,Chemistry + Context,mae,0.5973120182337757,0.011191229509253381,0.5834162714565001,0.6112077650110512,5,"0.597 (0.583, 0.611)"
sequence_cluster,A+C,Chemistry + Context,spearman,0.5545950963952191,0.05771619076445056,0.4829309802095401,0.6262592125808981,5,"0.555 (0.483, 0.626)"
sequence_cluster,B,Site,r2,0.1428680379322638,0.009777601180970255,0.1307275425570584,0.1550085333074692,5,"0.143 (0.131, 0.155)"
sequence_cluster,B,Site,rmse,0.9964924025082406,0.005670437943766437,0.9894516238594172,1.003533181157064,5,"0.996 (0.989, 1.004)"
sequence_cluster,B,Site,mae,0.6940990013257722,0.004073704445709222,0.6890408291762125,0.6991571734753319,5,"0.694 (0.689, 0.699)"
sequence_cluster,B,Site,spearman,0.4367113654540057,0.023597028847941997,0.4074117842689404,0.46601094663907094,5,"0.437 (0.407, 0.466)"
sequence_cluster,B+C,Site + Context,r2,0.10324793850587939,0.05179616216786554,0.038934508696916795,0.16756136831484197,5,"0.103 (0.039, 0.168)"
sequence_cluster,B+C,Site + Context,rmse,1.0189407971616098,0.029240537130398467,0.9826338749186535,1.055247719404566,5,"1.019 (0.983, 1.055)"
sequence_cluster,B+C,Site + Context,mae,0.699120383688115,0.019856508723304037,0.6744652716763694,0.7237754956998607,5,"0.699 (0.674, 0.724)"
sequence_cluster,B+C,Site + Context,spearman,0.48339598619330876,0.01266535809813954,0.46766986701849034,0.4991221053681272,5,"0.483 (0.468, 0.499)"
sequence_cluster,C,Context,r2,0.08550419165229031,0.026809470048863464,0.05221583788169438,0.11879254542288625,5,"0.086 (0.052, 0.119)"
sequence_cluster,C,Context,rmse,1.0292235110463994,0.015007677127219204,1.0105890186608653,1.0478580034319336,5,"1.029 (1.011, 1.048)"
sequence_cluster,C,Context,mae,0.7361172205719846,0.01980531552179468,0.7115256733155059,0.7607087678284633,5,"0.736 (0.712, 0.761)"
sequence_cluster,C,Context,spearman,0.45744373486206913,0.013011843529784748,0.4412873972008748,0.47360007252326347,5,"0.457 (0.441, 0.474)"
