split,feature_set_id,seed,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,seed_bootstrap,interval
random,C,1,r2,0.2754330470905465,0.20028327576092883,0.34063804668077396,unique peptide sequence,2000,20260717,percentile
random,C,1,rmse,0.972480813509224,0.8257011319336088,1.1368087146468324,unique peptide sequence,2000,20260717,percentile
random,C,1,mae,0.6257101322416992,0.5532546920220962,0.7078174898446378,unique peptide sequence,2000,20260717,percentile
random,C,1,spearman,0.5648062633178763,0.5093044588914715,0.6286273926556207,unique peptide sequence,2000,20260717,percentile
random,C,2,r2,0.27675361121054853,0.20287817349153794,0.34181107395684884,unique peptide sequence,2000,20260717,percentile
random,C,2,rmse,0.971594208799532,0.8191188845464431,1.1366188934723127,unique peptide sequence,2000,20260717,percentile
random,C,2,mae,0.623837788699748,0.5504043811928585,0.7111743515127597,unique peptide sequence,2000,20260717,percentile
random,C,2,spearman,0.5698996733602237,0.5177037156643858,0.6290497927640173,unique peptide sequence,2000,20260717,percentile
random,C,3,r2,0.2512189650597405,0.17089382893122732,0.317356534904266,unique peptide sequence,2000,20260717,percentile
random,C,3,rmse,0.9885967960909087,0.8361032382933591,1.1489282046010856,unique peptide sequence,2000,20260717,percentile
random,C,3,mae,0.63573617406086,0.5595758859613525,0.7219825346866635,unique peptide sequence,2000,20260717,percentile
random,C,3,spearman,0.5563348084716071,0.5041850902732482,0.6178644913860515,unique peptide sequence,2000,20260717,percentile
random,C,4,r2,0.2690623515635564,0.19743379019554805,0.3398268649750459,unique peptide sequence,2000,20260717,percentile
random,C,4,rmse,0.9767466861066645,0.8231925736716649,1.1369204164789684,unique peptide sequence,2000,20260717,percentile
random,C,4,mae,0.6285355109389712,0.5540817443114652,0.7137368969043224,unique peptide sequence,2000,20260717,percentile
random,C,4,spearman,0.5615410534974249,0.5064542641953576,0.6268438443059331,unique peptide sequence,2000,20260717,percentile
random,A+B,0,r2,0.43851176046342033,0.33103473428208424,0.5607984725014699,unique peptide sequence,2000,20260717,percentile
random,A+B,0,rmse,0.8560755878815985,0.6786509824237573,1.023073551479182,unique peptide sequence,2000,20260717,percentile
random,A+B,0,mae,0.5257067076483081,0.4430236540267024,0.6239029188915348,unique peptide sequence,2000,20260717,percentile
random,A+B,0,spearman,0.7269060540585116,0.6762564826110147,0.7812251119825447,unique peptide sequence,2000,20260717,percentile
random,A+B,1,r2,0.4682971933368042,0.3882422346369911,0.5764183582484357,unique peptide sequence,2000,20260717,percentile
random,A+B,1,rmse,0.8330599520323091,0.6644955008397385,0.987792854465194,unique peptide sequence,2000,20260717,percentile
random,A+B,1,mae,0.501830523949903,0.4235978580718351,0.5881409670948713,unique peptide sequence,2000,20260717,percentile
random,A+B,1,spearman,0.7425384336855201,0.6991860539794802,0.7921584409301592,unique peptide sequence,2000,20260717,percentile
random,A+B,2,r2,0.4521936407882642,0.3518095134593365,0.5743472968914792,unique peptide sequence,2000,20260717,percentile
random,A+B,2,rmse,0.8455811935324498,0.6736935794649033,1.0036942102204345,unique peptide sequence,2000,20260717,percentile
random,A+B,2,mae,0.5081359183380978,0.4278712191383344,0.6025272278826856,unique peptide sequence,2000,20260717,percentile
random,A+B,2,spearman,0.7423897913967039,0.6948976558183828,0.7965450052837405,unique peptide sequence,2000,20260717,percentile
random,A+B,3,r2,0.4571401549631532,0.38776383336923803,0.5563073783006304,unique peptide sequence,2000,20260717,percentile
random,A+B,3,rmse,0.8417548740482586,0.6849657922657675,0.9985694553212131,unique peptide sequence,2000,20260717,percentile
random,A+B,3,mae,0.5101209461525545,0.4382098717497443,0.5939964923302837,unique peptide sequence,2000,20260717,percentile
random,A+B,3,spearman,0.7327518227220637,0.6896693685257027,0.7818011605014048,unique peptide sequence,2000,20260717,percentile
random,A+B,4,r2,0.4137766790573256,0.30373507066624494,0.5408451919256181,unique peptide sequence,2000,20260717,percentile
random,A+B,4,rmse,0.8747285998071398,0.7001820411197028,1.035995819878336,unique peptide sequence,2000,20260717,percentile
random,A+B,4,mae,0.5330737990518102,0.44961198469075103,0.6279423137830066,unique peptide sequence,2000,20260717,percentile
random,A+B,4,spearman,0.7170990853629271,0.6699271584350832,0.7705433151827114,unique peptide sequence,2000,20260717,percentile
random,A+C,0,r2,0.42540894204073143,0.35502546132805696,0.5108350571532057,unique peptide sequence,2000,20260717,percentile
random,A+C,0,rmse,0.8660066204008953,0.7032686434582396,1.023248499809841,unique peptide sequence,2000,20260717,percentile
random,A+C,0,mae,0.5193733757605908,0.4464853940746351,0.6027580704458192,unique peptide sequence,2000,20260717,percentile
random,A+C,0,spearman,0.7159738309475714,0.6687197023586199,0.7724397106393462,unique peptide sequence,2000,20260717,percentile
random,A+C,1,r2,0.3876354240082873,0.30411085955814404,0.49769199017705495,unique peptide sequence,2000,20260717,percentile
random,A+C,1,rmse,0.8940191271811606,0.7289544724684719,1.0529523576408797,unique peptide sequence,2000,20260717,percentile
random,A+C,1,mae,0.528861173549875,0.449129808698538,0.6197550925561787,unique peptide sequence,2000,20260717,percentile
random,A+C,1,spearman,0.7008068798372068,0.6483049657378848,0.7646855591999695,unique peptide sequence,2000,20260717,percentile
random,A+C,2,r2,0.4303479416912511,0.35941950595600425,0.524429483576162,unique peptide sequence,2000,20260717,percentile
