representation_id,seed,feature,subblock,mean_absolute_shap,proportion
A+B,2,tpsa,A,0.08165416121482849,0.04981137067079544
A+B,2,num_h_acceptors,A,0.021613530814647675,0.013184870593249798
A+B,2,num_h_donors,A,0.08010532706975937,0.04886653646826744
A+B,2,num_rotatable_bonds,A,0.10456649959087372,0.06378854811191559
A+B,2,num_aromatic_rings,A,0.04772874340415001,0.029115894809365273
A+B,2,num_aliphatic_rings,A,0.052398476749658585,0.03196456655859947
A+B,2,num_edits,A,0.016182348132133484,0.009871694259345531
A+B,2,num_edit_families,A,0.008267163299024105,0.005043205339461565
A+B,2,anchor_count_total,B1,0.01292161550372839,0.007882554084062576
A+B,2,anchor_count_unique,B1,0.018601069226861,0.011347183026373386
A+B,2,anchor_density,B1,0.06392683833837509,0.03899719566106796
A+B,2,anchor_pos_mean,B1,0.10311117768287659,0.06290075927972794
A+B,2,anchor_pos_std,B1,0.12350133061408997,0.07533933967351913
A+B,2,anchor_pos_range,B1,0.0569792240858078,0.034758951514959335
A+B,2,anchor_res_A,B2,0.028763335198163986,0.017546456307172775
A+B,2,anchor_res_C,B2,0.0,0.0
A+B,2,anchor_res_D,B2,0.008446626365184784,0.005152683239430189
A+B,2,anchor_res_E,B2,0.0,0.0
A+B,2,anchor_res_F,B2,0.02981090173125267,0.01818550005555153
A+B,2,anchor_res_G,B2,0.032413601875305176,0.019773222506046295
A+B,2,anchor_res_H,B2,0.0,0.0
A+B,2,anchor_res_I,B2,0.0016767753986641765,0.0010228808969259262
A+B,2,anchor_res_K,B2,8.83192042238079e-05,5.387723649619147e-05
A+B,2,anchor_res_L,B2,0.05196278542280197,0.03169878199696541
A+B,2,anchor_res_M,B2,0.0,0.0
A+B,2,anchor_res_N,B2,0.0,0.0
A+B,2,anchor_res_P,B2,0.050722386687994,0.030942102894186974
A+B,2,anchor_res_Q,B2,0.0,0.0
A+B,2,anchor_res_R,B2,0.0,0.0
A+B,2,anchor_res_S,B2,0.011373338289558887,0.006938060745596886
A+B,2,anchor_res_T,B2,0.007609540596604347,0.004642036743462086
A+B,2,anchor_res_V,B2,0.012015063315629959,0.007329531479626894
A+B,2,anchor_res_W,B2,0.00020161290012765676,0.00012298962974455208
A+B,2,anchor_res_Y,B2,0.0038372764829546213,0.0023408480919897556
A+B,2,anchor_hydrophobic_frac,B3,0.04781357944011688,0.029167648404836655
A+B,2,anchor_charged_frac,B3,0.0069200932048261166,0.0042214542627334595
A+B,2,anchor_polar_frac,B3,0.008439257740974426,0.0051481882110238075
A+B,2,anchor_aromatic_frac,B3,0.016819631680846214,0.010260455310344696
A+B,2,anchor_small_frac,B3,0.028916023671627045,0.01763959974050522
A+B,2,anchor_proline_frac,B3,0.00874498300254345,0.0053346892818808556
A+B,2,anchor_terminal_frac,B3,0.004881883505731821,0.0029780883342027664
A+B,2,anchor_n_terminal_count,B3,0.0018968879012390971,0.0011571557261049747
A+B,2,anchor_c_terminal_count,B3,0.16874651610851288,0.10294019430875778
A+B,3,mol_weight,A,0.06057284399867058,0.04710066318511963
A+B,3,logp,A,0.20606793463230133,0.16023576259613037
A+B,3,tpsa,A,0.0635024681687355,0.04937870055437088
A+B,3,num_h_acceptors,A,0.011797213926911354,0.009173361584544182
A+B,3,num_h_donors,A,0.08619256317615509,0.06702222675085068
A+B,3,num_rotatable_bonds,A,0.08376594632863998,0.06513531506061554
A+B,3,num_aromatic_rings,A,0.051929596811532974,0.040379785001277924
A+B,3,num_aliphatic_rings,A,0.0384400300681591,0.029890472069382668
A+B,3,num_edits,A,0.012669350951910019,0.00985152367502451
A+B,3,num_edit_families,A,0.0036140994634479284,0.002810277044773102
A+B,3,anchor_count_total,B1,0.006639632396399975,0.005162892397493124
A+B,3,anchor_count_unique,B1,0.009449752047657967,0.007348005194216967
A+B,3,anchor_density,B1,0.03588973730802536,0.027907395735383034
A+B,3,anchor_pos_mean,B1,0.049480605870485306,0.03847547993063927
A+B,3,anchor_pos_std,B1,0.0929710641503334,0.07229310274124146
A+B,3,anchor_pos_range,B1,0.026889344677329063,0.02090880647301674
A+B,3,anchor_res_A,B2,0.013759253546595573,0.010699017904698849
A+B,3,anchor_res_C,B2,0.0,0.0
A+B,3,anchor_res_D,B2,0.04193709418177605,0.032609742134809494
A+B,3,anchor_res_E,B2,0.0,0.0
A+B,3,anchor_res_F,B2,0.01885232888162136,0.014659327454864979
A+B,3,anchor_res_G,B2,0.025922289118170738,0.02015683799982071
A+B,3,anchor_res_H,B2,0.0,0.0
A+B,3,anchor_res_I,B2,0.001103919930756092,0.0008583939052186906
A+B,3,anchor_res_K,B2,7.73971842136234e-05,6.0183050663908944e-05
A+B,3,anchor_res_L,B2,0.05757319554686546,0.04476817324757576
A+B,3,anchor_res_M,B2,0.0,0.0
A+B,3,anchor_res_N,B2,0.0,0.0
