representation_id,representation,seed,group,attribution_proportion,n_explained,evaluation_population,shap_method
A+B,Contexthemistry+Site,4,C,0.0,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B,Contexthemistry+Site,4,B,0.56697774,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,0,A,0.3620904,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,0,B1,0.1327048,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,0,B2,0.14759278,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,0,B3,0.08023983,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,0,C,0.27737227,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,0,B,0.3605374,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,1,A,0.37229252,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,1,B1,0.13178474,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,1,B2,0.13773324,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,1,B3,0.08737551,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,1,C,0.27081403,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,1,B,0.35689348,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,2,A,0.3484086,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,2,B1,0.1566759,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,2,B2,0.12821165,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,2,B3,0.09439382,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,2,C,0.27231005,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,2,B,0.37928137,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,3,A,0.36094362,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,3,B1,0.14262058,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,3,B2,0.12324276,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,3,B3,0.10102861,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,3,C,0.27216443,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,3,B,0.36689192,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,4,A,0.33525857,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,4,B1,0.16353741,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,4,B2,0.1300659,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,4,B3,0.09809341,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,4,C,0.27304474,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
A+B+C,Contexthemistry+Site+Context,4,B,0.39169672,500,fixed random-split test subset,XGBoost native TreeSHAP pred_contribs
