split,comparison,seed,metric,observed_difference,ci95_low,ci95_high,bootstrap_unit,replicates,bootstrap_seed,interval
random,B+C minus B,2,spearman,0.08258576423678843,0.054536091695843524,0.1122789052337638,unique peptide sequence,2000,20260719,percentile
random,A+C minus A,1,r2,-0.021913105907440333,-0.06134590490303627,0.026727837620747444,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,1,rmse,0.016141694889930003,-0.019078280623565893,0.04611450247012978,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,1,mae,-0.007972024731042304,-0.028165396872661584,0.008789391343186456,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,1,spearman,-0.0005726668302753479,-0.016570653485343104,0.016950493151901586,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,3,r2,-0.04048819359920863,-0.07541878183600835,-0.0032974335190433567,unique peptide sequence,2000,20260720,percentile
random,A+C minus A,3,rmse,0.030190061462324058,0.0025458111844260806,0.05653007546363539,unique peptide sequence,2000,20260720,percentile
random,A+C minus A,3,mae,0.00229187346848303,-0.016372259733493422,0.01799464510563162,unique peptide sequence,2000,20260720,percentile
random,A+C minus A,3,spearman,-0.012183089735232855,-0.027428855712381427,0.005426137893925446,unique peptide sequence,2000,20260720,percentile
random,B+C minus B,1,r2,0.12921248137271124,0.07596560130866463,0.18003049368655355,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,1,rmse,-0.08973834486146026,-0.11898938038548226,-0.05544468657195766,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,1,mae,-0.07438849364435596,-0.10000766870646845,-0.04848156120936196,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,1,spearman,0.08328808251984465,0.05334393847230812,0.11159406236623604,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,0,r2,0.05622172982441964,0.03026313822261873,0.08273603066065158,unique peptide sequence,2000,20260717,percentile
random,B+C minus B,0,rmse,-0.04004600586281293,-0.054250212219603675,-0.023030853596952346,unique peptide sequence,2000,20260717,percentile
random,B+C minus B,0,mae,-0.04614572567106634,-0.058407709027275156,-0.030655242137467262,unique peptide sequence,2000,20260717,percentile
random,B+C minus B,0,spearman,0.06539266999236037,0.04080779891120329,0.09003127918135526,unique peptide sequence,2000,20260717,percentile
random,B+C minus B,3,r2,0.05301300178058477,0.02572156317531346,0.07838152844182443,unique peptide sequence,2000,20260720,percentile
random,B+C minus B,3,rmse,-0.037881294262570364,-0.053116284601330346,-0.01816355728107182,unique peptide sequence,2000,20260720,percentile
random,B+C minus B,3,mae,-0.03059295126195405,-0.042504121925727015,-0.015432325292266475,unique peptide sequence,2000,20260720,percentile
random,B+C minus B,3,spearman,0.05801827766052625,0.03459138816472919,0.08174122814888306,unique peptide sequence,2000,20260720,percentile
sequence_cluster,A+B minus A,0,r2,0.022826045922423432,-0.03990809441958654,0.1137200154232636,held-out 70% sequence cluster,2000,20260717,percentile
