seed,setting,rmse,mae,r2,spearman
0,Shift -2,1.2044016807135856,0.9044934888424209,-0.11137121608003797,0.5831155666108129
1,Shift -2,1.00023497750396,0.7539309698275384,0.23348525469637493,0.6267842366067929
2,Shift -2,1.0571484950255579,0.8072276764534406,0.14377396226557115,0.6063224714173479
3,Shift -2,1.069546922528644,0.800490486089291,0.12357224256137156,0.6049862925304627
4,Shift -2,1.0224419977469823,0.7848639316657111,0.199071404961781,0.6202789653878037
0,Shift -1,1.0059179680384873,0.7420815802815157,0.22475036527769565,0.5987300634980562
1,Shift -1,1.0218686150193648,0.7678201257607464,0.19996947028689127,0.6043214557315392
2,Shift -1,1.0151649953212816,0.7701822300597512,0.21043169399371997,0.6168592359589916
3,Shift -1,1.0889209337136634,0.81180135071345,0.09153304941946583,0.5901647438045752
4,Shift -1,1.0364774713403582,0.7813496730953841,0.17693113711374553,0.6003277611996598
0,Shift +1,0.9139464248387716,0.6365191619633642,0.36003250582058566,0.6424952723382007
1,Shift +1,0.9064458416269093,0.6260777100795979,0.3704935841545064,0.6474677238987746
2,Shift +1,0.911126234261159,0.6264638485582874,0.36397594416642076,0.6580860074447944
3,Shift +1,1.0848807896371937,0.761231287919505,0.09826178125452434,0.5640030072025277
4,Shift +1,1.1203350884770396,0.7884853378485057,0.03836045326141557,0.5700063744309537
0,Shift +2,0.9999247751380452,0.729415195966998,0.23396061863060458,0.5697976331062641
1,Shift +2,0.9785238823755548,0.7228045619702783,0.2664000411262717,0.5929895292706072
2,Shift +2,1.2292896845815195,0.9184665299945478,-0.1577769884780269,0.5261152356565251
3,Shift +2,1.1756912325044546,0.8709982440493105,-0.05901716136757851,0.48947888240861726
4,Shift +2,0.9688308372370682,0.7056121998955146,0.28086182082349354,0.5968986208149437
0,Shift +3,0.9228787428940847,0.6491428925684201,0.34746212488364303,0.6361054757127712
1,Shift +3,1.0445132139472002,0.7500357298638837,0.164119265072461,0.5442326337069349
2,Shift +3,1.0055727936425363,0.7329101783481698,0.22528231802311527,0.593377610006735
3,Shift +3,0.997423824152284,0.7208235730898974,0.23778776866962548,0.5938851603584637
4,Shift +3,0.8990450083588841,0.6003790164101838,0.3807310472880504,0.6526537317444617
0,Shift +5,0.9247031488016197,0.638343799406555,0.3448796172988893,0.6440152713566062
1,Shift +5,1.60662265466969,1.295711695993107,-0.9776262222959402,0.5127288394809815
2,Shift +5,0.9016965858632204,0.5952794967310648,0.37707280756799144,0.6668304841375527
3,Shift +5,0.9561084058743954,0.6832850200800853,0.2996248771267632,0.6352979812779013
4,Shift +5,0.9102330372482192,0.6061357115805923,0.3652223495657885,0.6508427367173508
0,A,0.8612348558811773,0.5255243316252227,0.43172358065009764,0.7156650020441591
1,A,0.868240004732256,0.5332225493393582,0.42244144180717347,0.7134341407141848
2,A,0.867958181865996,0.5299954041307932,0.422816321542519,0.7110323934223295
3,A,0.8634049884471575,0.5254902410961857,0.42885609588997176,0.7205351472862934
4,A,0.8610953541484103,0.5232842100077263,0.43190766313160034,0.7200818990591259
0,A+B1,0.8470914349147951,0.521087080424886,0.4502350857672607,0.7305435761386314
1,A+B1,0.8583822330008838,0.529836369741687,0.4354818902422565,0.7205522254839223
2,A+B1,0.8401507824375151,0.5164338501197148,0.45920718714136577,0.7325014651185037
3,A+B1,0.8408571020051917,0.5113944751895657,0.45829750969531446,0.7338467491468594
